,level_0,index,attacktype1,targtype1,weaptype1,attacktype1_txt,targtype1_txt,weaptype1_txt,cluster
381,381,381,3,20,6,Bombing/Explosion,Unknown,Explosives,2
382,382,382,3,20,6,Bombing/Explosion,Unknown,Explosives,2
383,383,383,3,20,6,Bombing/Explosion,Unknown,Explosives,2
384,384,384,3,2,6,Bombing/Explosion,Government (General),Explosives,2
385,385,385,2,2,5,Armed Assault,Government (General),Firearms,3
386,386,386,2,15,5,Armed Assault,Religious Figures/Institutions,Firearms,3
387,387,387,2,15,5,Armed Assault,Religious Figures/Institutions,Firearms,3
388,388,388,2,3,8,Armed Assault,Police,Incendiary,0
389,389,389,3,2,6,Bombing/Explosion,Government (General),Explosives,2
390,390,390,7,15,8,Facility/Infrastructure Attack,Religious Figures/Institutions,Incendiary,4
391,391,391,3,2,6,Bombing/Explosion,Government (General),Explosives,2
392,392,392,3,3,6,Bombing/Explosion,Police,Explosives,2
393,393,393,3,20,6,Bombing/Explosion,Unknown,Explosives,2
394,394,394,7,12,8,Facility/Infrastructure Attack,NGO,Incendiary,0
395,395,395,3,14,6,Bombing/Explosion,Private Citizens & Property,Explosives,2
396,396,396,3,14,6,Bombing/Explosion,Private Citizens & Property,Explosives,2
397,397,397,2,2,9,Armed Assault,Government (General),Melee,5
398,398,398,2,14,5,Armed Assault,Private Citizens & Property,Firearms,3
399,399,399,3,3,6,Bombing/Explosion,Police,Explosives,2
400,400,400,7,14,8,Facility/Infrastructure Attack,Private Citizens & Property,Incendiary,1
401,401,401,6,12,13,Hostage Taking (Kidnapping),NGO,Unknown,0
402,402,402,3,19,6,Bombing/Explosion,Transportation,Explosives,2
403,403,403,3,20,6,Bombing/Explosion,Unknown,Explosives,2
404,404,404,7,14,8,Facility/Infrastructure Attack,Private Citizens & Property,Incendiary,1
405,405,405,3,2,2,Bombing/Explosion,Government (General),Chemical,2
406,406,406,2,19,9,Armed Assault,Transportation,Melee,5
407,407,407,3,1,6,Bombing/Explosion,Business,Explosives,2
408,408,408,3,20,6,Bombing/Explosion,Unknown,Explosives,2
409,409,409,3,3,6,Bombing/Explosion,Police,Explosives,2
410,410,410,3,14,6,Bombing/Explosion,Private Citizens & Property,Explosives,2
411,411,411,3,2,6,Bombing/Explosion,Government (General),Explosives,2
412,412,412,3,3,6,Bombing/Explosion,Police,Explosives,2
413,413,413,3,3,6,Bombing/Explosion,Police,Explosives,2
414,414,414,3,3,6,Bombing/Explosion,Police,Explosives,2
415,415,415,3,3,6,Bombing/Explosion,Police,Explosives,2
416,416,416,3,1,6,Bombing/Explosion,Business,Explosives,2
417,417,417,2,14,9,Armed Assault,Private Citizens & Property,Melee,5
418,418,418,2,14,5,Armed Assault,Private Citizens & Property,Firearms,3
419,419,419,2,14,5,Armed Assault,Private Citizens & Property,Firearms,3
420,420,420,7,14,5,Facility/Infrastructure Attack,Private Citizens & Property,Firearms,1
421,421,421,6,12,8,Hostage Taking (Kidnapping),NGO,Incendiary,0
422,422,422,3,1,6,Bombing/Explosion,Business,Explosives,2
423,423,423,7,14,8,Facility/Infrastructure Attack,Private Citizens & Property,Incendiary,1
424,424,424,3,14,6,Bombing/Explosion,Private Citizens & Property,Explosives,2
425,425,425,2,14,5,Armed Assault,Private Citizens & Property,Firearms,3
426,426,426,2,3,5,Armed Assault,Police,Firearms,3
427,427,427,7,1,8,Facility/Infrastructure Attack,Business,Incendiary,0
428,428,428,7,1,8,Facility/Infrastructure Attack,Business,Incendiary,0
429,429,429,7,1,8,Facility/Infrastructure Attack,Business,Incendiary,0
430,430,430,7,14,8,Facility/Infrastructure Attack,Private Citizens & Property,Incendiary,1
431,431,431,3,2,6,Bombing/Explosion,Government (General),Explosives,2
432,432,432,2,3,5,Armed Assault,Police,Firearms,3
433,433,433,3,1,6,Bombing/Explosion,Business,Explosives,2
434,434,434,3,14,6,Bombing/Explosion,Private Citizens & Property,Explosives,2
435,435,435,7,21,8,Facility/Infrastructure Attack,Utilities,Incendiary,0
436,436,436,3,20,6,Bombing/Explosion,Unknown,Explosives,2
437,437,437,7,3,5,Facility/Infrastructure Attack,Police,Firearms,0
438,438,438,7,3,8,Facility/Infrastructure Attack,Police,Incendiary,0
439,439,439,7,3,8,Facility/Infrastructure Attack,Police,Incendiary,0
440,440,440,2,1,9,Armed Assault,Business,Melee,5
441,441,441,3,14,6,Bombing/Explosion,Private Citizens & Property,Explosives,2
442,442,442,3,14,6,Bombing/Explosion,Private Citizens & Property,Explosives,2
443,443,443,3,20,6,Bombing/Explosion,Unknown,Explosives,2
444,444,444,2,3,8,Armed Assault,Police,Incendiary,0
445,445,445,3,3,6,Bombing/Explosion,Police,Explosives,2
446,446,446,2,14,5,Armed Assault,Private Citizens & Property,Firearms,3
447,447,447,3,20,6,Bombing/Explosion,Unknown,Explosives,2
448,448,448,3,14,6,Bombing/Explosion,Private Citizens & Property,Explosives,2
449,449,449,3,14,6,Bombing/Explosion,Private Citizens & Property,Explosives,2
450,450,450,3,14,6,Bombing/Explosion,Private Citizens & Property,Explosives,2
451,451,451,7,14,8,Facility/Infrastructure Attack,Private Citizens & Property,Incendiary,1
452,452,452,7,7,8,Facility/Infrastructure Attack,Government (Diplomatic),Incendiary,0
453,453,453,3,20,6,Bombing/Explosion,Unknown,Explosives,2
454,454,454,3,14,6,Bombing/Explosion,Private Citizens & Property,Explosives,2
455,455,455,3,20,6,Bombing/Explosion,Unknown,Explosives,2
456,456,456,7,12,8,Facility/Infrastructure Attack,NGO,Incendiary,0
457,457,457,2,14,9,Armed Assault,Private Citizens & Property,Melee,5
458,458,458,7,3,8,Facility/Infrastructure Attack,Police,Incendiary,0
459,459,459,3,6,6,Bombing/Explosion,Airports & Aircraft,Explosives,2
460,460,460,3,14,6,Bombing/Explosion,Private Citizens & Property,Explosives,2
461,461,461,3,1,6,Bombing/Explosion,Business,Explosives,2
462,462,462,9,2,13,Unknown,Government (General),Unknown,0
463,463,463,7,14,8,Facility/Infrastructure Attack,Private Citizens & Property,Incendiary,1
464,464,464,2,2,9,Armed Assault,Government (General),Melee,5
465,465,465,2,14,9,Armed Assault,Private Citizens & Property,Melee,5
466,466,466,7,15,8,Facility/Infrastructure Attack,Religious Figures/Institutions,Incendiary,4
467,467,467,2,3,5,Armed Assault,Police,Firearms,3
468,468,468,1,15,9,Assassination,Religious Figures/Institutions,Melee,4
469,469,469,7,14,8,Facility/Infrastructure Attack,Private Citizens & Property,Incendiary,1
470,470,470,7,14,8,Facility/Infrastructure Attack,Private Citizens & Property,Incendiary,1
471,471,471,7,14,8,Facility/Infrastructure Attack,Private Citizens & Property,Incendiary,1
472,472,472,7,14,8,Facility/Infrastructure Attack,Private Citizens & Property,Incendiary,1
473,473,473,7,1,8,Facility/Infrastructure Attack,Business,Incendiary,0
474,474,474,3,14,6,Bombing/Explosion,Private Citizens & Property,Explosives,2
475,475,475,3,3,6,Bombing/Explosion,Police,Explosives,2
476,476,476,3,20,6,Bombing/Explosion,Unknown,Explosives,2
477,477,477,7,14,8,Facility/Infrastructure Attack,Private Citizens & Property,Incendiary,1
478,478,478,7,14,8,Facility/Infrastructure Attack,Private Citizens & Property,Incendiary,1
479,479,479,7,15,8,Facility/Infrastructure Attack,Religious Figures/Institutions,Incendiary,4
480,480,480,7,15,8,Facility/Infrastructure Attack,Religious Figures/Institutions,Incendiary,4
481,481,481,2,14,8,Armed Assault,Private Citizens & Property,Incendiary,1
482,482,482,3,3,6,Bombing/Explosion,Police,Explosives,2
483,483,483,3,2,6,Bombing/Explosion,Government (General),Explosives,2
484,484,484,3,2,6,Bombing/Explosion,Government (General),Explosives,2
485,485,485,8,2,10,Unarmed Assault,Government (General),"Vehicle (not to include vehicle-borne explosives, i.e., car or truck bombs)",0
486,486,486,7,19,8,Facility/Infrastructure Attack,Transportation,Incendiary,0
487,487,487,2,19,8,Armed Assault,Transportation,Incendiary,0
488,488,488,4,1,6,Hijacking,Business,Explosives,0
489,489,489,2,3,8,Armed Assault,Police,Incendiary,0
490,490,490,8,2,10,Unarmed Assault,Government (General),"Vehicle (not to include vehicle-borne explosives, i.e., car or truck bombs)",0
491,491,491,7,14,8,Facility/Infrastructure Attack,Private Citizens & Property,Incendiary,1
492,492,492,2,3,8,Armed Assault,Police,Incendiary,0
493,493,493,7,19,8,Facility/Infrastructure Attack,Transportation,Incendiary,0
494,494,494,7,4,8,Facility/Infrastructure Attack,Military,Incendiary,0
495,495,495,7,15,8,Facility/Infrastructure Attack,Religious Figures/Institutions,Incendiary,4
496,496,496,7,15,8,Facility/Infrastructure Attack,Religious Figures/Institutions,Incendiary,4
497,497,497,3,20,6,Bombing/Explosion,Unknown,Explosives,2
498,498,498,2,3,8,Armed Assault,Police,Incendiary,0
499,499,499,7,3,8,Facility/Infrastructure Attack,Police,Incendiary,0
500,500,500,3,20,6,Bombing/Explosion,Unknown,Explosives,2
501,501,501,7,3,8,Facility/Infrastructure Attack,Police,Incendiary,0
502,502,502,3,14,6,Bombing/Explosion,Private Citizens & Property,Explosives,2
503,503,503,1,2,5,Assassination,Government (General),Firearms,3
504,504,504,7,15,8,Facility/Infrastructure Attack,Religious Figures/Institutions,Incendiary,4
505,505,505,7,2,8,Facility/Infrastructure Attack,Government (General),Incendiary,0
506,506,506,2,3,5,Armed Assault,Police,Firearms,3
507,507,507,3,1,6,Bombing/Explosion,Business,Explosives,2
508,508,508,2,14,5,Armed Assault,Private Citizens & Property,Firearms,3
509,509,509,7,15,8,Facility/Infrastructure Attack,Religious Figures/Institutions,Incendiary,4
510,510,510,3,14,6,Bombing/Explosion,Private Citizens & Property,Explosives,2
511,511,511,7,14,8,Facility/Infrastructure Attack,Private Citizens & Property,Incendiary,1
512,512,512,3,3,6,Bombing/Explosion,Police,Explosives,2
513,513,513,3,3,6,Bombing/Explosion,Police,Explosives,2
514,514,514,3,14,6,Bombing/Explosion,Private Citizens & Property,Explosives,2
515,515,515,3,1,6,Bombing/Explosion,Business,Explosives,2
516,516,516,7,15,8,Facility/Infrastructure Attack,Religious Figures/Institutions,Incendiary,4
517,517,517,3,14,6,Bombing/Explosion,Private Citizens & Property,Explosives,2
518,518,518,3,20,6,Bombing/Explosion,Unknown,Explosives,2
519,519,519,7,14,8,Facility/Infrastructure Attack,Private Citizens & Property,Incendiary,1
520,520,520,3,19,6,Bombing/Explosion,Transportation,Explosives,2
521,521,521,7,2,8,Facility/Infrastructure Attack,Government (General),Incendiary,0
522,522,522,3,2,6,Bombing/Explosion,Government (General),Explosives,2
523,523,523,3,1,6,Bombing/Explosion,Business,Explosives,2
524,524,524,2,14,8,Armed Assault,Private Citizens & Property,Incendiary,1
525,525,525,7,14,8,Facility/Infrastructure Attack,Private Citizens & Property,Incendiary,1
526,526,526,7,15,8,Facility/Infrastructure Attack,Religious Figures/Institutions,Incendiary,4
527,527,527,8,14,2,Unarmed Assault,Private Citizens & Property,Chemical,1
528,528,528,7,14,8,Facility/Infrastructure Attack,Private Citizens & Property,Incendiary,1
529,529,529,7,2,8,Facility/Infrastructure Attack,Government (General),Incendiary,0
530,530,530,8,14,9,Unarmed Assault,Private Citizens & Property,Melee,5
531,531,531,2,14,5,Armed Assault,Private Citizens & Property,Firearms,3
532,532,532,3,3,6,Bombing/Explosion,Police,Explosives,2
533,533,533,3,20,6,Bombing/Explosion,Unknown,Explosives,2
534,534,534,7,15,8,Facility/Infrastructure Attack,Religious Figures/Institutions,Incendiary,4
535,535,535,2,3,6,Armed Assault,Police,Explosives,2
536,536,536,3,14,6,Bombing/Explosion,Private Citizens & Property,Explosives,2
537,537,537,2,14,8,Armed Assault,Private Citizens & Property,Incendiary,1
538,538,538,3,3,6,Bombing/Explosion,Police,Explosives,2
539,539,539,7,14,8,Facility/Infrastructure Attack,Private Citizens & Property,Incendiary,1
540,540,540,7,14,8,Facility/Infrastructure Attack,Private Citizens & Property,Incendiary,1
541,541,541,2,4,9,Armed Assault,Military,Melee,5
542,542,542,7,14,8,Facility/Infrastructure Attack,Private Citizens & Property,Incendiary,1
543,543,543,2,4,5,Armed Assault,Military,Firearms,3
544,544,544,2,3,9,Armed Assault,Police,Melee,5
545,545,545,3,3,6,Bombing/Explosion,Police,Explosives,2
546,546,546,7,15,8,Facility/Infrastructure Attack,Religious Figures/Institutions,Incendiary,4
547,547,547,3,14,6,Bombing/Explosion,Private Citizens & Property,Explosives,2
548,548,548,3,3,6,Bombing/Explosion,Police,Explosives,2
549,549,549,3,3,6,Bombing/Explosion,Police,Explosives,2
550,550,550,3,14,6,Bombing/Explosion,Private Citizens & Property,Explosives,2
551,551,551,2,15,5,Armed Assault,Religious Figures/Institutions,Firearms,3
552,552,552,8,2,10,Unarmed Assault,Government (General),"Vehicle (not to include vehicle-borne explosives, i.e., car or truck bombs)",0
553,553,553,2,14,8,Armed Assault,Private Citizens & Property,Incendiary,1
554,554,554,7,10,8,Facility/Infrastructure Attack,Journalists & Media,Incendiary,0
555,555,555,3,14,6,Bombing/Explosion,Private Citizens & Property,Explosives,2
556,556,556,7,1,8,Facility/Infrastructure Attack,Business,Incendiary,0
557,557,557,3,20,6,Bombing/Explosion,Unknown,Explosives,2
558,558,558,7,2,8,Facility/Infrastructure Attack,Government (General),Incendiary,0
559,559,559,3,3,6,Bombing/Explosion,Police,Explosives,2
560,560,560,2,14,5,Armed Assault,Private Citizens & Property,Firearms,3
561,561,561,7,14,8,Facility/Infrastructure Attack,Private Citizens & Property,Incendiary,1
562,562,562,7,14,8,Facility/Infrastructure Attack,Private Citizens & Property,Incendiary,1
563,563,563,3,14,6,Bombing/Explosion,Private Citizens & Property,Explosives,2
564,564,564,7,3,8,Facility/Infrastructure Attack,Police,Incendiary,0
565,565,565,3,14,6,Bombing/Explosion,Private Citizens & Property,Explosives,2
566,566,566,7,14,8,Facility/Infrastructure Attack,Private Citizens & Property,Incendiary,1
567,567,567,7,1,8,Facility/Infrastructure Attack,Business,Incendiary,0
568,568,568,2,2,5,Armed Assault,Government (General),Firearms,3
569,569,569,2,3,5,Armed Assault,Police,Firearms,3
570,570,570,2,7,5,Armed Assault,Government (Diplomatic),Firearms,3
571,571,571,2,14,6,Armed Assault,Private Citizens & Property,Explosives,2
572,572,572,7,1,8,Facility/Infrastructure Attack,Business,Incendiary,0
573,573,573,7,1,8,Facility/Infrastructure Attack,Business,Incendiary,0
574,574,574,7,1,8,Facility/Infrastructure Attack,Business,Incendiary,0
575,575,575,7,1,8,Facility/Infrastructure Attack,Business,Incendiary,0
576,576,576,7,1,8,Facility/Infrastructure Attack,Business,Incendiary,0
577,577,577,7,1,8,Facility/Infrastructure Attack,Business,Incendiary,0
578,578,578,7,1,8,Facility/Infrastructure Attack,Business,Incendiary,0
579,579,579,3,2,6,Bombing/Explosion,Government (General),Explosives,2
580,580,580,7,14,8,Facility/Infrastructure Attack,Private Citizens & Property,Incendiary,1
581,581,581,7,14,8,Facility/Infrastructure Attack,Private Citizens & Property,Incendiary,1
582,582,582,3,1,6,Bombing/Explosion,Business,Explosives,2
583,583,583,2,7,5,Armed Assault,Government (Diplomatic),Firearms,3
584,584,584,7,14,8,Facility/Infrastructure Attack,Private Citizens & Property,Incendiary,1
585,585,585,3,14,6,Bombing/Explosion,Private Citizens & Property,Explosives,2
586,586,586,3,14,6,Bombing/Explosion,Private Citizens & Property,Explosives,2
587,587,587,2,14,5,Armed Assault,Private Citizens & Property,Firearms,3
588,588,588,3,2,6,Bombing/Explosion,Government (General),Explosives,2
589,589,589,2,3,9,Armed Assault,Police,Melee,5
590,590,590,2,3,5,Armed Assault,Police,Firearms,3
591,591,591,3,14,6,Bombing/Explosion,Private Citizens & Property,Explosives,2
592,592,592,3,14,6,Bombing/Explosion,Private Citizens & Property,Explosives,2
593,593,593,3,20,6,Bombing/Explosion,Unknown,Explosives,2
594,594,594,7,19,8,Facility/Infrastructure Attack,Transportation,Incendiary,0
595,595,595,8,14,10,Unarmed Assault,Private Citizens & Property,"Vehicle (not to include vehicle-borne explosives, i.e., car or truck bombs)",1
596,596,596,7,19,8,Facility/Infrastructure Attack,Transportation,Incendiary,0
597,597,597,7,15,8,Facility/Infrastructure Attack,Religious Figures/Institutions,Incendiary,4
598,598,598,7,14,8,Facility/Infrastructure Attack,Private Citizens & Property,Incendiary,1
599,599,599,7,14,8,Facility/Infrastructure Attack,Private Citizens & Property,Incendiary,1
600,600,600,7,14,8,Facility/Infrastructure Attack,Private Citizens & Property,Incendiary,1
601,601,601,7,14,8,Facility/Infrastructure Attack,Private Citizens & Property,Incendiary,1
602,602,602,7,14,8,Facility/Infrastructure Attack,Private Citizens & Property,Incendiary,1
603,603,603,7,15,8,Facility/Infrastructure Attack,Religious Figures/Institutions,Incendiary,4
604,604,604,1,10,9,Assassination,Journalists & Media,Melee,5
605,605,605,2,14,5,Armed Assault,Private Citizens & Property,Firearms,3
606,606,606,3,1,6,Bombing/Explosion,Business,Explosives,2
607,607,607,5,10,6,Hostage Taking (Barricade Incident),Journalists & Media,Explosives,2
608,608,608,2,14,5,Armed Assault,Private Citizens & Property,Firearms,3
609,609,609,2,15,5,Armed Assault,Religious Figures/Institutions,Firearms,3
610,610,610,7,15,8,Facility/Infrastructure Attack,Religious Figures/Institutions,Incendiary,4
611,611,611,2,3,5,Armed Assault,Police,Firearms,3
612,612,612,2,15,6,Armed Assault,Religious Figures/Institutions,Explosives,2
613,613,613,3,1,6,Bombing/Explosion,Business,Explosives,2
614,614,614,3,3,6,Bombing/Explosion,Police,Explosives,2
615,615,615,7,15,8,Facility/Infrastructure Attack,Religious Figures/Institutions,Incendiary,4
616,616,616,2,15,5,Armed Assault,Religious Figures/Institutions,Firearms,3
617,617,617,5,1,5,Hostage Taking (Barricade Incident),Business,Firearms,0
618,618,618,5,1,5,Hostage Taking (Barricade Incident),Business,Firearms,0
619,619,619,2,15,5,Armed Assault,Religious Figures/Institutions,Firearms,3
620,620,620,2,15,5,Armed Assault,Religious Figures/Institutions,Firearms,3
621,621,621,2,1,5,Armed Assault,Business,Firearms,3
622,622,622,7,10,8,Facility/Infrastructure Attack,Journalists & Media,Incendiary,0
623,623,623,7,14,8,Facility/Infrastructure Attack,Private Citizens & Property,Incendiary,1
624,624,624,7,15,8,Facility/Infrastructure Attack,Religious Figures/Institutions,Incendiary,4
625,625,625,3,20,6,Bombing/Explosion,Unknown,Explosives,2
626,626,626,3,2,6,Bombing/Explosion,Government (General),Explosives,2
627,627,627,3,1,6,Bombing/Explosion,Business,Explosives,2
628,628,628,2,1,5,Armed Assault,Business,Firearms,3
629,629,629,7,14,8,Facility/Infrastructure Attack,Private Citizens & Property,Incendiary,1
630,630,630,3,20,6,Bombing/Explosion,Unknown,Explosives,2
631,631,631,2,14,5,Armed Assault,Private Citizens & Property,Firearms,3
632,632,632,2,14,5,Armed Assault,Private Citizens & Property,Firearms,3
633,633,633,2,4,9,Armed Assault,Military,Melee,5
634,634,634,3,14,6,Bombing/Explosion,Private Citizens & Property,Explosives,2
635,635,635,3,20,6,Bombing/Explosion,Unknown,Explosives,2
636,636,636,6,10,5,Hostage Taking (Kidnapping),Journalists & Media,Firearms,3
637,637,637,3,3,6,Bombing/Explosion,Police,Explosives,2
638,638,638,3,20,6,Bombing/Explosion,Unknown,Explosives,2
639,639,639,3,20,6,Bombing/Explosion,Unknown,Explosives,2
640,640,640,3,14,6,Bombing/Explosion,Private Citizens & Property,Explosives,2
641,641,641,2,3,8,Armed Assault,Police,Incendiary,0
642,642,642,7,2,8,Facility/Infrastructure Attack,Government (General),Incendiary,0
643,643,643,7,14,8,Facility/Infrastructure Attack,Private Citizens & Property,Incendiary,1
644,644,644,2,14,5,Armed Assault,Private Citizens & Property,Firearms,3
645,645,645,3,14,6,Bombing/Explosion,Private Citizens & Property,Explosives,2
646,646,646,3,14,6,Bombing/Explosion,Private Citizens & Property,Explosives,2
647,647,647,3,3,6,Bombing/Explosion,Police,Explosives,2
648,648,648,3,14,6,Bombing/Explosion,Private Citizens & Property,Explosives,2
649,649,649,7,14,8,Facility/Infrastructure Attack,Private Citizens & Property,Incendiary,1
650,650,650,2,14,5,Armed Assault,Private Citizens & Property,Firearms,3
651,651,651,2,15,5,Armed Assault,Religious Figures/Institutions,Firearms,3
652,652,652,3,3,6,Bombing/Explosion,Police,Explosives,2
653,653,653,3,20,6,Bombing/Explosion,Unknown,Explosives,2
654,654,654,5,14,5,Hostage Taking (Barricade Incident),Private Citizens & Property,Firearms,3
655,655,655,7,15,8,Facility/Infrastructure Attack,Religious Figures/Institutions,Incendiary,4
656,656,656,7,1,8,Facility/Infrastructure Attack,Business,Incendiary,0
657,657,657,3,14,6,Bombing/Explosion,Private Citizens & Property,Explosives,2
658,658,658,3,20,6,Bombing/Explosion,Unknown,Explosives,2
659,659,659,1,3,5,Assassination,Police,Firearms,3
660,660,660,7,4,8,Facility/Infrastructure Attack,Military,Incendiary,0
661,661,661,3,14,6,Bombing/Explosion,Private Citizens & Property,Explosives,2
662,662,662,3,14,6,Bombing/Explosion,Private Citizens & Property,Explosives,2
663,663,663,7,3,8,Facility/Infrastructure Attack,Police,Incendiary,0
664,664,664,1,7,9,Assassination,Government (Diplomatic),Melee,5
665,665,665,3,14,6,Bombing/Explosion,Private Citizens & Property,Explosives,2
666,666,666,2,19,9,Armed Assault,Transportation,Melee,5
667,667,667,1,4,9,Assassination,Military,Melee,5
668,668,668,3,14,6,Bombing/Explosion,Private Citizens & Property,Explosives,2
669,669,669,3,14,6,Bombing/Explosion,Private Citizens & Property,Explosives,2
670,670,670,6,3,9,Hostage Taking (Kidnapping),Police,Melee,5
671,671,671,5,1,8,Hostage Taking (Barricade Incident),Business,Incendiary,0
672,672,672,7,1,8,Facility/Infrastructure Attack,Business,Incendiary,0
673,673,673,3,14,6,Bombing/Explosion,Private Citizens & Property,Explosives,2
674,674,674,2,1,8,Armed Assault,Business,Incendiary,0
675,675,675,8,14,9,Unarmed Assault,Private Citizens & Property,Melee,5
676,676,676,2,14,5,Armed Assault,Private Citizens & Property,Firearms,3
677,677,677,2,14,5,Armed Assault,Private Citizens & Property,Firearms,3
678,678,678,2,6,8,Armed Assault,Airports & Aircraft,Incendiary,0
679,679,679,7,2,8,Facility/Infrastructure Attack,Government (General),Incendiary,0
680,680,680,7,14,8,Facility/Infrastructure Attack,Private Citizens & Property,Incendiary,1
681,681,681,3,14,6,Bombing/Explosion,Private Citizens & Property,Explosives,2
682,682,682,7,7,8,Facility/Infrastructure Attack,Government (Diplomatic),Incendiary,0
683,683,683,7,2,8,Facility/Infrastructure Attack,Government (General),Incendiary,0
684,684,684,2,14,5,Armed Assault,Private Citizens & Property,Firearms,3
685,685,685,3,3,6,Bombing/Explosion,Police,Explosives,2
686,686,686,3,14,6,Bombing/Explosion,Private Citizens & Property,Explosives,2
687,687,687,2,14,8,Armed Assault,Private Citizens & Property,Incendiary,1
688,688,688,7,14,8,Facility/Infrastructure Attack,Private Citizens & Property,Incendiary,1
689,689,689,7,14,8,Facility/Infrastructure Attack,Private Citizens & Property,Incendiary,1
690,690,690,2,13,8,Armed Assault,Other,Incendiary,0
691,691,691,3,1,6,Bombing/Explosion,Business,Explosives,2
692,692,692,7,14,8,Facility/Infrastructure Attack,Private Citizens & Property,Incendiary,1
693,693,693,3,20,6,Bombing/Explosion,Unknown,Explosives,2
694,694,694,3,20,6,Bombing/Explosion,Unknown,Explosives,2
695,695,695,7,15,8,Facility/Infrastructure Attack,Religious Figures/Institutions,Incendiary,4
696,696,696,7,1,8,Facility/Infrastructure Attack,Business,Incendiary,0
697,697,697,1,10,5,Assassination,Journalists & Media,Firearms,3
698,698,698,3,20,6,Bombing/Explosion,Unknown,Explosives,2
699,699,699,7,15,8,Facility/Infrastructure Attack,Religious Figures/Institutions,Incendiary,4
700,700,700,2,14,5,Armed Assault,Private Citizens & Property,Firearms,3
701,701,701,7,2,8,Facility/Infrastructure Attack,Government (General),Incendiary,0
702,702,702,3,3,6,Bombing/Explosion,Police,Explosives,2
703,703,703,9,20,13,Unknown,Unknown,Unknown,0
704,704,704,3,14,6,Bombing/Explosion,Private Citizens & Property,Explosives,2
705,705,705,7,14,8,Facility/Infrastructure Attack,Private Citizens & Property,Incendiary,1
706,706,706,3,14,6,Bombing/Explosion,Private Citizens & Property,Explosives,2
707,707,707,8,2,12,Unarmed Assault,Government (General),Other,0
708,708,708,3,2,6,Bombing/Explosion,Government (General),Explosives,2
709,709,709,3,4,6,Bombing/Explosion,Military,Explosives,2
710,710,710,3,20,6,Bombing/Explosion,Unknown,Explosives,2
711,711,711,7,14,8,Facility/Infrastructure Attack,Private Citizens & Property,Incendiary,1
712,712,712,3,3,6,Bombing/Explosion,Police,Explosives,2
713,713,713,3,14,6,Bombing/Explosion,Private Citizens & Property,Explosives,2
714,714,714,7,1,8,Facility/Infrastructure Attack,Business,Incendiary,0
715,715,715,2,14,5,Armed Assault,Private Citizens & Property,Firearms,3
716,716,716,3,20,6,Bombing/Explosion,Unknown,Explosives,2
717,717,717,7,1,8,Facility/Infrastructure Attack,Business,Incendiary,0
718,718,718,1,10,13,Assassination,Journalists & Media,Unknown,0
719,719,719,7,2,8,Facility/Infrastructure Attack,Government (General),Incendiary,0
720,720,720,7,2,8,Facility/Infrastructure Attack,Government (General),Incendiary,0
721,721,721,7,1,8,Facility/Infrastructure Attack,Business,Incendiary,0
722,722,722,7,14,8,Facility/Infrastructure Attack,Private Citizens & Property,Incendiary,1
723,723,723,3,20,6,Bombing/Explosion,Unknown,Explosives,2
724,724,724,7,19,8,Facility/Infrastructure Attack,Transportation,Incendiary,0
725,725,725,7,3,8,Facility/Infrastructure Attack,Police,Incendiary,0
726,726,726,3,3,6,Bombing/Explosion,Police,Explosives,2
727,727,727,3,3,6,Bombing/Explosion,Police,Explosives,2
728,728,728,3,20,6,Bombing/Explosion,Unknown,Explosives,2
729,729,729,7,14,8,Facility/Infrastructure Attack,Private Citizens & Property,Incendiary,1
730,730,730,3,14,6,Bombing/Explosion,Private Citizens & Property,Explosives,2
731,731,731,3,1,6,Bombing/Explosion,Business,Explosives,2
732,732,732,7,3,8,Facility/Infrastructure Attack,Police,Incendiary,0
733,733,733,2,2,8,Armed Assault,Government (General),Incendiary,0
734,734,734,3,14,6,Bombing/Explosion,Private Citizens & Property,Explosives,2
735,735,735,3,14,6,Bombing/Explosion,Private Citizens & Property,Explosives,2
736,736,736,3,3,6,Bombing/Explosion,Police,Explosives,2
737,737,737,7,2,8,Facility/Infrastructure Attack,Government (General),Incendiary,0
738,738,738,3,2,6,Bombing/Explosion,Government (General),Explosives,2
739,739,739,7,14,8,Facility/Infrastructure Attack,Private Citizens & Property,Incendiary,1
740,740,740,7,1,8,Facility/Infrastructure Attack,Business,Incendiary,0
741,741,741,2,14,5,Armed Assault,Private Citizens & Property,Firearms,3
742,742,742,9,22,13,Unknown,Violent Political Party,Unknown,0
743,743,743,7,14,8,Facility/Infrastructure Attack,Private Citizens & Property,Incendiary,1
744,744,744,2,15,5,Armed Assault,Religious Figures/Institutions,Firearms,3
745,745,745,8,19,9,Unarmed Assault,Transportation,Melee,5
746,746,746,7,14,8,Facility/Infrastructure Attack,Private Citizens & Property,Incendiary,1
747,747,747,3,3,6,Bombing/Explosion,Police,Explosives,2
748,748,748,7,14,8,Facility/Infrastructure Attack,Private Citizens & Property,Incendiary,1
749,749,749,2,3,6,Armed Assault,Police,Explosives,2
750,750,750,7,15,8,Facility/Infrastructure Attack,Religious Figures/Institutions,Incendiary,4
751,751,751,7,15,8,Facility/Infrastructure Attack,Religious Figures/Institutions,Incendiary,4
752,752,752,7,20,8,Facility/Infrastructure Attack,Unknown,Incendiary,0
753,753,753,7,15,8,Facility/Infrastructure Attack,Religious Figures/Institutions,Incendiary,4
754,754,754,3,20,6,Bombing/Explosion,Unknown,Explosives,2
